 ,Area,Mean,Min,Max,X,Y
1,0,128,128,128,1394.674,4006.799
2,0,134,134,134,1386.969,3559.887
3,0,108,108,108,1810.765,292.804
4,0,250,250,250,1810.765,362.153
5,0,187,187,187,1810.765,439.207
6,0,234,234,234,1810.765,508.555
7,0,223,223,223,1787.649,608.725
8,0,215,215,215,1779.943,739.717
9,0,224,224,224,1764.533,878.414
10,0,205,205,205,1764.533,955.467
11,0,231,231,231,1764.533,1109.575
12,0,201,201,201,1764.533,1186.629
13,0,198,198,198,1756.827,1302.210
14,0,222,222,222,1733.711,1433.201
15,0,234,234,234,1733.711,1548.782
16,0,192,192,192,1710.595,1687.479
17,0,153,153,153,1702.890,1810.765
18,0,144,144,144,1702.890,1926.346
19,0,144,144,144,1702.890,2034.221
20,0,170,170,170,1687.479,2165.212
21,0,150,150,150,1695.184,2350.142
22,0,137,137,137,1695.184,2458.017
23,0,216,216,216,1718.300,2542.776
24,0,140,140,140,1741.417,2673.768
25,0,194,194,194,1749.122,2781.643
26,0,188,188,188,1749.122,2928.045
27,0,219,219,219,1749.122,3028.215
28,0,176,176,176,1749.122,3128.385
29,0,200,200,200,1749.122,3228.555
30,0,133,133,133,1749.122,3321.020
31,0,134,134,134,1772.238,3421.190
32,0,176,176,176,1810.765,3513.654
33,0,160,160,160,1810.765,3613.824
34,0,162,162,162,1787.649,3721.700
35,0,162,162,162,1764.533,3829.575
36,0,158,158,158,1756.827,3975.977
37,0,130,130,130,1764.533,4114.674
38,0,139,139,139,1787.649,4245.666
39,0,145,145,145,1841.586,4345.836
40,0,122,122,122,1872.408,4484.532
41,0,192,192,192,1872.408,4600.113
42,0,178,178,178,1849.292,4615.524
43,0,228,228,228,1702.890,4600.113
44,0,208,208,208,1610.425,4553.881
45,0,126,126,126,1533.371,4507.648
46,0,127,127,127,1464.023,4407.479
47,0,158,158,158,1440.906,4322.720
48,0,125,125,125,1394.674,4230.255
49,0,125,125,125,1356.147,4222.550
50,0,129,129,129,1325.326,4315.014
51,0,135,135,135,1302.210,4392.068
52,0,196,196,196,1263.683,4484.532
53,0,190,190,190,1202.040,4546.176
54,0,162,162,162,1124.986,4615.524
55,0,168,168,168,1032.521,4684.872
56,0,137,137,137,940.057,4738.811
57,0,174,174,174,870.708,4754.221
58,0,238,238,238,870.708,4661.757
59,0,147,147,147,893.824,4569.292
60,0,161,161,161,932.351,4476.827
61,0,147,147,147,978.584,4368.952
62,0,173,173,173,1024.816,4237.960
63,0,192,192,192,1055.637,4099.264
64,0,114,114,114,1055.637,3968.272
65,0,126,126,126,1055.637,3860.396
66,0,155,155,155,1055.637,3767.932
67,0,130,130,130,993.994,3675.468
68,0,113,113,113,963.173,3567.592
69,0,146,146,146,955.467,3475.127
70,0,181,181,181,963.173,3367.252
71,0,143,143,143,993.994,3236.261
72,0,199,199,199,1055.637,3105.269
73,0,162,162,162,1101.870,2997.394
74,0,177,177,177,1132.691,2866.402
75,0,202,202,202,1148.102,2758.527
76,0,160,160,160,1194.334,2619.830
77,0,113,113,113,1232.861,2511.955
78,0,211,211,211,1240.567,2404.079
79,0,196,196,196,1286.799,2311.615
80,0,116,116,116,1325.326,2234.561
81,0,132,132,132,1371.558,2134.391
82,0,132,132,132,1410.085,2026.516
83,0,130,130,130,1433.201,1887.819
84,0,136,136,136,1471.728,1779.943
85,0,158,158,158,1494.844,1664.363
86,0,134,134,134,1533.371,1564.193
87,0,146,146,146,1541.076,1440.906
88,0,150,150,150,1564.193,1309.915
89,0,167,167,167,1579.603,1209.745
90,0,170,170,170,1595.014,1117.281
91,0,147,147,147,1633.541,993.994
92,0,196,196,196,1656.657,878.414
93,0,139,139,139,1679.773,762.833
94,0,250,250,250,1695.184,654.958
95,0,226,226,226,1718.300,554.788
96,0,250,250,250,1749.122,416.091
